slot_va	rva	target_va	is_pdata_start	target_owner
0x140f8dd24	0x460020	0x140460020	no	NO-FUNCTION
0x140f8dd28	0x6c0069	0x1406c0069	no	0x14069eaa0..0x1406cd1a2
0x140f8dd2c	0x730065	0x140730065	no	0x1407206a0..0x14075b438
0x140f8dd30	0x41005c	0x14041005c	no	NO-FUNCTION
0x140f8dd34	0x74006e	0x14074006e	no	0x1407206a0..0x14075b438
0x140f8dd38	0x430069	0x140430069	no	NO-FUNCTION
0x140f8dd3c	0x650068	0x140650068	no	0x140643ae0..0x1406656b1
0x140f8dd40	0x740061	0x140740061	no	0x1407206a0..0x14075b438
0x140f8dd44	0x780045	0x140780045	no	0x140770330..0x140783d53
0x140f8dd48	0x650070	0x140650070	no	0x140643ae0..0x1406656b1
0x140f8dd4c	0x740072	0x140740072	no	0x1407206a0..0x14075b438
0x140f8dd50	0x2a005c	0x1402a005c	no	NO-FUNCTION
0x140f8dd54	0x6c002e	0x1406c002e	no	0x14069eaa0..0x1406cd1a2
0x140f8dd58	0x67006f	0x14067006f	no	0x140665910..0x140680974
0x140f8dd60	0x730025	0x140730025	no	0x1407206a0..0x14075b438
0x140f8dd64	0x730025	0x140730025	no	0x1407206a0..0x14075b438
0x140f8dde0	0x756c	0x14000756c	no	0x1400019d0..0x14001bde5
0x140f8de60	0x586c	0x14000586c	no	0x1400019d0..0x14001bde5
0x140f8ded0	0x756c	0x14000756c	no	0x1400019d0..0x14001bde5
0x140f8df58	0x756c25	0x140756c25	no	0x1407206a0..0x14075b438
0x140f8e038	0x524f	0x14000524f	no	0x1400019d0..0x14001bde5
0x140f8e0ac	0x4554	0x140004554	no	0x1400019d0..0x14001bde5
0x140f8e0bc	0x4e454b	0x1404e454b	no	NO-FUNCTION
0x140f8e0e4	0x4452	0x140004452	no	0x1400019d0..0x14001bde5
0x140f8e0f4	0x4452	0x140004452	no	0x1400019d0..0x14001bde5
0x140f8e114	0x544e45	0x140544e45	no	NO-FUNCTION
0x140f8e124	0x544e	0x14000544e	no	0x1400019d0..0x14001bde5
0x140f8e140	0x454e	0x14000454e	no	0x1400019d0..0x14001bde5
0x140f8e16c	0x4d4152	0x1404d4152	no	NO-FUNCTION
0x140f8e17c	0x484755	0x140484755	no	NO-FUNCTION
0x140f8e190	0x4452	0x140004452	no	0x1400019d0..0x14001bde5
0x140f8e1d4	0x4646	0x140004646	no	0x1400019d0..0x14001bde5
0x140f8e224	0x4e4947	0x1404e4947	no	NO-FUNCTION
0x140f8e234	0x45444f	0x14045444f	no	NO-FUNCTION
0x140f8e2bc	0x73253d	0x14073253d	no	0x1407206a0..0x14075b438
0x140f8e2e0	0x6c6c	0x140006c6c	no	0x1400019d0..0x14001bde5
0x140f8e2f8	0x4174	0x140004174	no	0x1400019d0..0x14001bde5
0x140f8e318	0xa1a3	0x14000a1a3	no	0x1400019d0..0x14001bde5
0x140f8e320	0x3a0044	0x1403a0044	no	0x140384a80..0x1403a85db
0x140f8e324	0x57005c	0x14057005c	no	NO-FUNCTION
0x140f8e328	0x6e0069	0x1406e0069	no	0x1406dacb0..0x140720697
0x140f8e32c	0x6f0064	0x1406f0064	no	0x1406dacb0..0x140720697
0x140f8e330	0x730077	0x140730077	no	0x1407206a0..0x14075b438
0x140f8e334	0x53005c	0x14053005c	no	NO-FUNCTION
0x140f8e338	0x730079	0x140730079	no	0x1407206a0..0x14075b438
0x140f8e33c	0x650074	0x140650074	no	0x140643ae0..0x1406656b1
0x140f8e340	0x33006d	0x14033006d	no	NO-FUNCTION
0x140f8e344	0x5c0032	0x1405c0032	no	0x1405a0700..0x1405c16cf
0x140f8e348	0x610048	0x140610048	no	0x1405e8220..0x1406196ee
0x140f8e34c	0x640072	0x140640072	no	0x140619940..0x140643adc
0x140f8e350	0x610077	0x140610077	no	0x1405e8220..0x1406196ee
0x140f8e354	0x650072	0x140650072	no	0x140643ae0..0x1406656b1
0x140f8e358	0x69002e	0x14069002e	no	0x140680980..0x14069e996
0x140f8e35c	0x69006e	0x14069006e	no	0x140680980..0x14069e996
0x140f8e370	0x3a0043	0x1403a0043	no	0x140384a80..0x1403a85db
0x140f8e374	0x57005c	0x14057005c	no	NO-FUNCTION
0x140f8e378	0x6e0069	0x1406e0069	no	0x1406dacb0..0x140720697
0x140f8e37c	0x6f0064	0x1406f0064	no	0x1406dacb0..0x140720697
0x140f8e380	0x730077	0x140730077	no	0x1407206a0..0x14075b438
0x140f8e384	0x53005c	0x14053005c	no	NO-FUNCTION
0x140f8e388	0x730079	0x140730079	no	0x1407206a0..0x14075b438
0x140f8e38c	0x650074	0x140650074	no	0x140643ae0..0x1406656b1
0x140f8e390	0x33006d	0x14033006d	no	NO-FUNCTION
0x140f8e394	0x5c0032	0x1405c0032	no	0x1405a0700..0x1405c16cf
0x140f8e398	0x610048	0x140610048	no	0x1405e8220..0x1406196ee
0x140f8e39c	0x640072	0x140640072	no	0x140619940..0x140643adc
0x140f8e3a0	0x610077	0x140610077	no	0x1405e8220..0x1406196ee
0x140f8e3a4	0x650072	0x140650072	no	0x140643ae0..0x1406656b1
0x140f8e3a8	0x69002e	0x14069002e	no	0x140680980..0x14069e996
0x140f8e3ac	0x69006e	0x14069006e	no	0x140680980..0x14069e996
